Model_ID,Case_Name,ai_facts,ai_issue,ai_decision,ai_reasons,ai_ratio,human_facts,human_issue,human_decision,human_reasons,human_ratio,facts_similarity,issue_similarity,decision_similarity,reasons_similarity,ratio_similarity
ANTHROPIC.claude-3-opus-latest,Canada (Attorney General) v Mossup,"Kenneth Mossup and Brian Egan were employees of the federal government. They filed a complaint with the Canadian Human Rights Commission alleging that they were denied employment benefits on the basis of their sexual orientation, as benefits were available to opposite-sex couples but not same-sex couples.",Whether the denial of employment benefits to same-sex couples amounted to discrimination on the basis of sexual orientation.,"The Federal Court of Appeal dismissed the Attorney General of Canada's appeal, affirming the decision of the Canadian Human Rights Tribunal which found that the denial of employment benefits to same-sex couples was discriminatory.","The Court held that the Canadian Human Rights Act prohibits discrimination on the basis of sexual orientation, and that the denial of employment benefits to same-sex couples constituted such discrimination. The Court rejected the argument that the Act only prohibited discrimination based on an individual's sexual orientation, and not discrimination against same-sex couples.","Discrimination on the basis of sexual orientation is prohibited under the Canadian Human Rights Act, and this includes discrimination against same-sex couples in the provision of employment benefits.","Mossop is a gay man, and his partner's father died.  He applied to take bereavement leave from his job to go to the funeral, but is denied because his partner is neither a ""spouse"" nor a ""common law partner"" as they are both required to be of the opposite sex.  He makes a claim to the Canadian Human Rights Commission, but refuses to argue sexual orientation as a ground, and instead will only argue family status, stating that all matters to do with homosexuals are not about sexual orientation by definition.  The case was dismissed in the lower courts.","Can a homosexual man claim discrimination against ""family status"" with his partner under
s.3 of the
Canadian Human Rights Act
?",Appeal dismissed..,"The court is upset with the appellant who refused to deal with the claim on the ground of sexual orientation, which was new at the time.  However, Mossop sticks with family status.  The majority says that you cannot interpret ""family status"" to include Mossop’s situation unless you also discuss the ground of sexual orientation, and as Mossop refuses to do so he cannot be successful.
La Forest
concurs, but instead looks to the definitions in the Act and tries to figure out what the government meant to protect under ""family status"".  He determines that this specific field was not intended to be covered.
In the dissent,
L'Heureux-Dubé
says that ""family status"" should have a very broad interpretation.  She looks to the broader social context of limiting it as the majority does, and further that by looking at the plain meaning given in the statute you are really just taking the majority's opinion of the definition, which is exactly what you try to avoid in human rights issues.  She also suggests that when there are overlapping grounds, you should select the one that will succeed and proceed with that one.","Only identified grounds can be pursued in a human rights claim.
Definitions in human rights legislation are generally interpreted broadly, but the definition given by Parliament in the statute has a good deal of authority in the court's decision on what falls under the definition and what does not.",0.7226161956787109,0.5643479824066162,0.638770341873169,0.605320930480957,0.3120143413543701
ANTHROPIC.claude-3-opus-latest,British Columbia (Superintendent of Motor Vehicles) v British Columbia (Council of Human Rights) (Re Grismer Estate),Terry Grismer was denied a driver's license by the B.C. Superintendent of Motor Vehicles due to a medical condition causing homonymous hemianopia. The B.C. Council of Human Rights found this to be discrimination based on physical disability. The Superintendent appealed the decision.,"Whether the Superintendent's blanket refusal to issue a driver's license to individuals with homonymous hemianopia, without allowing for individual assessment, was reasonable and justifiable.","The Supreme Court of Canada dismissed the appeal, upholding the B.C. Council of Human Rights' decision.",The Superintendent failed to show that individual assessment of the risks posed by Mr. Grismer's condition would pose undue hardship. The Superintendent's blanket refusal was not reasonably necessary to ensure road safety and was therefore discriminatory.,"Blanket refusals to issue licenses or services based on disability, without individual assessment, are prima facie discriminatory if not reasonably necessary to achieve a legitimate objective. The defendant bears the burden of proving that individual assessment would cause undue hardship.","The Government of British Columbia had a policy stating that it would not issue licenses to people suffering from a condition (homonymous hemianopsia (HH)) which affected eyesight.  The claimant had this condition but had driven flawlessly at work and on public roads using ""prism glasses"".  Despite this he was refused individual assessment and was not allowed to receive a license and was therefore unable to complete his job.  The British Columbia Human Rights Tribunal allowed Grismer to be individually tested.  Grismer died shortly after this decision.  This was upheld by the British Columbia Supreme Court but overruled by the Court of Appeal.",Does an absolute prohibition on licensing people with a visual impairment without the possibility of individual assessment constitute discrimination?,"Appeal allowed, standard disallowed.","The court applies the
Meiorin
test, showing that it can be used in scenarios outside of the workplace to determine if discrimination is justified.  This case passes the first part because the purpose of the standard (reasonable safety) is rationally connected to the function (issuing drivers’ licenses).  It also passes the second step because there is no evidence that the standard (no licenses for HH sufferers) was adopted for any reasons other than road safety.  However the case fails the third step as the court finds that the standard (no licenses for HH) is not reasonably necessary for the purpose (reasonable safety).  The blanket prohibition doesn't let people even attempt to show that they can drive safely.
It is clear here that the accommodation would be to allow testing.  In order to succeed the government would have had to prove that to allow testing would result to undue hardship which they failed to do.  Although there are clearly safety and cost concerns involved with testing, the government didn't put in any effort to determine these values, nor did they even look for alternative ways of testing.  The court also says that in general, with the government, costs must be exorbitant to amount to undue hardship, as they are publicly funded and this would be seen as being in the public interest.  As the standard is not rationally necessary for the purpose of reasonable road safety, it amounts to discrimination and must be removed.","The
Meiorin
test applies to all standards that are thought to be discriminatory, even if they do not occur in a workplace; called bona fide justification tests.
The government will be held to a very high threshold when claiming that the costs of not adopting a standard amount to undue hardship as they are publicly funded and preventing discrimination is in the public interest.",0.7796506881713867,0.47740182280540466,0.46680593490600586,0.5786358714103699,0.42455580830574036
ANTHROPIC.claude-3-opus-latest,Machtinger v HOJ Industries Ltd.,,,,,,"Both appellants began working for HOJ Industries, a car dealer, in 1978, and were discharged in 1985 without cause.  At the time they were dismissed Machtinger was credit manager and rust‑proofing sales manager and Lefebvre was sales manager.  Each had entered into a contract for employment for an indefinite period which contained a clause allowing the respondent to terminate his employment without cause, in Machtinger's case without notice and in Lefebvre's case on two weeks' notice.  Under the provincial
Employment Standards Act
the appellants were entitled to a minimum notice period of four weeks.  After they were dismissed, the respondent paid each of them the equivalent of four weeks' salary.  The appellants brought action for wrongful dismissal and the trial judge found that they were entitled to reasonable notice of termination, and that the period of reasonable notice for Machtinger was 7 months and for Lefebvre, 7½ months, however this was overturned by the Court of Appeal.",What should the notice period be in order to terminate employment if notice required in employment contract violates legislated standards?,"Appeal allowed, lower court judgment restored.","McLachlin, writing a concurring judgment, examined the legal principles governing the implication of terms.  She identifies three types of implied terms:
terms implied by fact (intention required);
terms implied by law (no intention required); and
terms implied by custom and usage,
and identifies #2 as the type the courts will read into a contract.  Implication of law can be from custom, for business efficiency (what is necessary in a contract), or what is reasonable (from Denning's dissent in
Liverpool City Council v Irwin
).
She finds that the Court of Appeal erred in characterizing a term implied in law as a term implied in fact, which brought in the intentionality of the parties.  Holding that the employer had a legal obligation to provide reasonable notice and that this can only be displaced by an express contrary agreement, the court imposed a reasonable term of notification on HOJ; HOJ industries.","Terms can be implied by the court based on:
custom or usage;
if necessary for business efficacy;
legal incidents of a particular class of contract.",,,,,
ANTHROPIC.claude-3-opus-latest,Homex Realty and Development Co. Ltd. v Wyoming (Village),I don't know,I don't know,I don't know,I don't know,I don't know,"As a condition of registration of a plan of subdivision in the Village of Wyoming, Atkinson, the owner and subdivider of the parcel of land, entered into an agreement with the Village for the installation of municipal services in the subdivision. This agreement, dated January 22, 1968, and registered September 26, 1975, provided in a general way for the owner's providing ""all the requirements financial and otherwise, of the Corporation re surfacing of roads, installation of services and drainage"". The agreement also prevented the sale of the lands in question until the agreement had been fully carried out, except with the consent of the Village, but the provision did not provide that consent would operate to release Atkinson from his obligation to the Village. Before any services were installed, Homex bought the great majority of the lots on the subdivision with the Village's consent. There was some question as to whether or not Homex had undertaken to assume the obligations of the original subdivider. Nevertheless, when protracted negotiations between the Village and Homex concerning the installation of services proved fruitless, the Village, in April 1976, pursuant to s. 29(3) (now
s. 50(3)
) of the
Planning Act
and without notice to Homex, enacted by-law 7 deeming the lots purchased by Homex not to be a registered plan of subdivision. Homex, in September 1976, made application for judicial review for an order quashing by-law 7 and, while the application was pending, checkerboarded its lots.
In November 1975, Homex and the Village negotiated the installation of services along the only street requiring them. By-law 6, enacted in December 1975, provided that it was the policy of the Village that it would neither assume responsibility for a water pipeline constructed by Homex nor permit its connection to the municipal water supply system. Homex coupled an application in judicial review to quash by-law 6 with the application for an order to quash by-law 7.","What qualifies as a ""legislative"" decision such that no duty of procedural fairness applies?",Appeal dismissed.,"Estey, writing for the majority, held that while the passage of By-law 7 had some characteristics of a community interest, it was also clearly the culmination of the dispute between the village and Homex.  As a result he found that the decision was quasi-judicial such as to attract the principle of notice and the doctrine of
audi alteram partem
.  Despite this, however, he held that the conduct of Homex to rid itself of the obligations under the agreement with Atkinson were such that it should be denied a discretionary remedy.  There was also no basis to challenge By-law 6 as it simply stated the facts of the agreement with Atkinson.
Dickson, in the dissent, is quoted:
The courts long ago developed the general proposition that wherever a statute authorizes the interference with property or other rights and is silent as to whether or not the agency in question is required to give notice prior to the intervention in such rights, the courts will ""supply the omission of the legislature"" and require the agency in question to afford the subject an opportunity of being heard before it proceeds.
He held that an act could not be labelled ""legislative"" merely for the purpose of dispensing with fairness. It was not particularly important that the function of the municipality was classified as ""legislative"" or ""quasi-judicial"", rather, it was necessary to look at the nature of the function and to the facts of each case. The by-law in question was not of wide and general application, but was rather aimed at deliberately limiting the rights of Homex, entitling it to some procedural safeguards - at a minimum, notice of the proposed by-law and the opportunity to be heard.","In general, the courts have not imposed procedural requirements on the subordinate law-making function.
The facts of each case are key to determining the level of procedural fairness required.",0.01476822979748249,-0.013857239857316017,0.07708156108856201,-0.021363118663430214,-0.06600791960954666
ANTHROPIC.claude-3-opus-latest,Bell Canada v Canadian Telephone Employees Association,"Bell Canada dismissed an employee for repeated tardiness and unauthorized absences from work. The union, Canadian Telephone Employees Association, filed a grievance on behalf of the employee, claiming that the dismissal was unjust.",Whether Bell Canada had just cause to dismiss the employee.,The Supreme Court of Canada upheld the arbitrator's decision that the dismissal was unjust and that the employee should be reinstated.,"The Court found that the arbitrator had considered all relevant factors, including the employee's length of service, disciplinary record, and the seriousness of the misconduct. The Court also noted that the arbitrator had properly applied the principles of progressive discipline.","In cases of employee dismissal, arbitrators must consider all relevant factors and apply the principles of progressive discipline to determine whether the dismissal was just. The decision of the arbitrator should be upheld unless it is found to be unreasonable.","This is an appeal of the decision in
Communications, Energy and Paperworkers Union of Canada v Bell Canada
.  On appeal Bell is arguing that the Canadian Human Rights Tribunal process is unfair because the Canadian Human Rights Commission makes regulations that the Tribunal must follow, and then appears in front of them seeking favorable decisions.  They claim that this constitutes a conflict of interest and a lack of necessary ""judicial"" independence.",Does the Canadian Human Rights Tribunal lack independence and impartiality because of the power of the Canadian Human Rights Commission to issue binding guidelines for them before they appear in front of them?,"Appeal dismissed, case to proceed to Tribunal.","The court recognizes that Bell's claims are not without merit, however after consideration they dismiss them.  The court held that Bell did not provide sufficient evidence for their claims and also because they misunderstand impartiality - it does not mean having the freedom to decide a case however one wishes to, being subject to certain binding principles is perfectly legitimate for an impartial judiciary.  Further, the Commission cannot create guidelines that favour them in the Tribunal, because to do so would be
ultra vires
their powers given in the
Canadian Human Rights Act
and the Tribunal is not bound by any such guidelines.  The powers that the Commission has to enact guidelines under
s.27(2)
and
s.27(3)
of the
Act
are constrained as all powers to create subordinate legislation are, and therefore the system is not flawed.","Having one's decisions bound by enacted guidelines does not affect impartiality.
Agencies cannot enact subordinate legislation outside of their delegated powers.",0.523774266242981,0.3488888740539551,0.6211225390434265,0.44145363569259644,0.2926671504974365
ANTHROPIC.claude-3-opus-latest,Catholic Children's Aid Society of Metropolitan Toronto v CM,"The respondent was a sixteen year old girl who was refusing blood transfusions on religious grounds as a Jehovah's Witness, which her doctors believed were necessary to treat her leukemia. The appellant child welfare agency sought a court order to compel the transfusions under the Child Welfare Act.",Does the Child Welfare Act authorize the court to make an order compelling medical treatment of a child against the child's wishes based on the child's religious beliefs?,Appeal dismissed. The Court upheld the trial judge's order compelling the blood transfusions.,"Section 19(1)(b)(ix) of the Act gives the court jurisdiction to make an order for medical treatment that is necessary to cure or prevent a child's ill health. While a child of sufficient maturity and comprehension is entitled to participate meaningfully in decisions about their medical treatment, the right to make those decisions can be overridden based on the child's best interests. Here, the trial judge correctly considered the child's religious beliefs and maturity, but appropriately concluded that her best interests outweighed her wishes.","A court can order necessary medical treatment for a child under the Child Welfare Act against the child's wishes, based on the child's religious beliefs, where it is in the child's best interests to do so after weighing all relevant factors including the child's maturity.","The aid society took SM into protection on several occasions and supervised her mother, CM, on parenting skills. On consent, SM was made a ward of the society 1989. Throughout the wardship, the society continued to work with CM and facilitated regular visits with SM, however, bonding between mother and daughter remained minimal. In December 1989, after a second four-month wardship, the society brought a status review application seeking an order of Crown wardship without access for the purposes of adoption. CM opposed the motion and the matter was dealt with sporadically throughout 1991. In February 1992 the Ontario Provincial Court ordered that SM be returned to CM on the basis that court intervention was no longer necessary to protect the child. The judge considered CM capable of acquiring the skill to care for her daughter adequately. The society obtained a stay of the order and unsuccessfully appealed to the Ontario Court (General Division). The Court of Appeal granted a stay of the order for return pending appeal and a motion for the introduction of fresh evidence. The new evidence concerned the consistent and repeated assertions of the child that she regarded her foster family as her real family, that she did not want to see her birth mother and that attempts to implement access visits with CM had become almost impossible because of the child's negative reactions - emotional, psychological and physical.  It allowed the appeal, set aside the order for the return of the child to the mother and ordered that the child be made a Crown ward without access for the purposes of adoption. CM appealed to the Supreme Court.",Does the child need continued protection?,Appeal dismissed.,"L'Heureux-Dubé, writing for the court, reviewed the case law and determined that when a court is determining whether the wardship should be terminated or continue, the judge should not determine whether an order of wardship should have been made in the previous or earlier hearings, but instead
now
consider whether continuation of the wardship in the current proceedings is in the best interests of the child without overlooking the parents' rights.  The review hearing is not about retrying the original need for a protection order, but rather the court should determine the circumstances of the parents or parent since the last order as it relates to the situation with respect to the child's custody, including their physical, mental and emotional state since that time and also whether there is now a lifestyle, including attitudes of the parent, that warrants the child being returned to the parent or to wardship.
She lays out a two part test:
Does the child continue to need protection and require a court order for protection?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
What is in the best interests of the children?
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
Applying this to the case at bar, she finds there remains a need for continued protection; the child has exhibited strong resistance to seeing her birth mother, and her birth mother has difficulty recognizing SM's emotional and physical needs.  Between the lack of bonding with the birth mother and the bonding with the foster family, it would be in the best interests of the child to be made a ward of the respondent society, with a view to her adoption by her foster family.",Two stage test for review of a protection order.,0.49544644355773926,0.4980936646461487,0.6752529144287109,0.5642831325531006,0.38127702474594116
ANTHROPIC.claude-3-opus-latest,Edgeworth Construction Ltd. v N.D. Lea & Associates Ltd.,"Edgeworth Construction Ltd. (Edgeworth) was a general contractor for a condominium project. N.D. Lea & Associates Ltd. (N.D. Lea) was the engineer on the project. The project suffered from delays and cost overruns, and Edgeworth sued N.D. Lea for negligence and breach of contract.",Was N.D. Lea liable to Edgeworth for negligence or breach of contract in relation to the delays and cost overruns on the condominium project?,The court found that N.D. Lea was not liable to Edgeworth for negligence or breach of contract.,"The court held that there was no contractual relationship between Edgeworth and N.D. Lea, as Edgeworth's contract was with the owner of the project, not with N.D. Lea directly. The court also found that N.D. Lea did not owe a duty of care to Edgeworth in tort, as there was insufficient proximity between the parties and it would not be fair or reasonable to impose such a duty in the circumstances.","In the absence of a contractual relationship, a professional (such as an engineer) will not be liable to a third party (such as a general contractor) for negligence unless there is sufficient proximity between the parties and it is fair and reasonable to impose a duty of care in the circumstances.","Edgeworth Construction Ltd. was engaged in the business of building roads in British Columbia.  In 1977, it bid on a contract to build a section of highway in the Revelstoke area.  Its bid was successful, and Edgeworth entered into a contract with the province for the work.  Edgeworth alleges that it lost money on the project due to errors in the specifications and construction drawings.  It commenced proceedings for negligent misrepresentation against the engineering firm which prepared those drawings, N.D. Lea & Associates Ltd. as well as the individual engineers who affixed their seals to the drawings.",Is the defendent exempt from liability due to the intervention of the Ministry and their liability clause?,Appeal allowed.,"McLachlin, writing for the majority, holds that liability for negligent misrepresentation occurs when a defendant:
makes a representation,
knows it will be relied upon, and
it is relied upon.
When Edgeworth performed the construction it was relying on N.D. Lea, not the provincial government.  Following the provisions in
London Drugs
the court finds there was no express or implied protection of the respondent in the contract.  Further, unlike in
London Drugs
the respondent could have drawn up a contract that protected it from liability.","Employees who are not ""powerless"" will not benefit from an employer's exemption.",0.7672998905181885,0.3882136046886444,0.22905904054641724,0.6628212928771973,0.24608728289604187
MISTRAL.open-mixtral-8x22b,Calder et al. v British Columbia (Attorney General),"The case involved a challenge to the constitutionality of a British Columbia law that allowed for the removal of certain individuals from the list of eligible voters.  The petitioners, Calder and others, were individuals who had been removed from the list.  They argued that the law violated their democratic rights, infringing on their ability to participate in the electoral process.  Specific details of the grounds for removal are not included.","Does the British Columbia law that allows for the removal of certain individuals from the list of eligible voters violate the Canadian Charter of Rights and Freedoms, specifically section 3 (right to vote)?",The Supreme Court of Canada upheld the constitutionality of the law.,"The Court reasoned that the law, though impacting the ability to vote, was a reasonable and justifiable limitation on that right.  The Court considered the government's interest in maintaining an accurate voter list, preventing fraud, and ensuring the integrity of the electoral process.  They emphasized the importance of a balance between individual rights and legitimate government interests.","A law that impacts the ability to vote is not automatically unconstitutional.  Such a law is permissible if it serves a justifiable purpose related to the integrity of the electoral process and is demonstrably reasonable in relation to that purpose. The government's interest in maintaining an accurate voter list, preventing fraud and ensuring the integrity of the electoral process can justify limitations on the right to vote.","The appellants are representative of the Nishga Tribe of British Columbia.  They claim that the aboriginal title over a piece of land in British Columbia that had been present before Confederation had never been extinguished, and that the tribe therefore still had title to the land.  This claim was denied at trial and upheld at appeal.","Do the alleged aboriginal land claims exist?
If the claims exist, were they extinguished?",Appeal dismissed.,"At trial and upon initial appeal the courts decided that if there ever was aboriginal title, it was surely extinguished upon confederation.  The Supreme Court holds that aboriginal title definitely exists, however they were split over whether or not it had been extinguished.  The majority decided that it has been extinguished by virtue of the government's exercise of control over the lands, and therefore the appeal is dismissed.  However, the dissenting judges disagree and state that more must be present to prove that the lands were extinguished.  They say that the provincial government did not have any constitutional right to deal with the land of the aboriginals, and that their predecessors before confederation did not do anything that could amount to extinguishing the lands.","Recognition of aboriginal title.
Aboriginal land claims are extinguished once government exercises control over the lands.",0.6433724164962769,0.1950690597295761,0.3111405670642853,0.37930622696876526,0.07849129289388657
MISTRAL.open-mixtral-8x22b,E. (Mrs.) v Eve,I don't know,I don't know,I don't know,I don't know,I don't know,"Eve was a 24 year-old mentally disabled woman living in PEI with a condition that made it very difficult for her to communicate with others.  She was sent away from her mother, who cared for her, during the week so that she could attend a special school.  Her mother was seeking the court's permission to perform a sterilization procedure (hysterectomy) on her daughter.  There was considerable evidence that the daughter would be incapable of handling the burdens of motherhood.  Eve had struck up a friendship with a boy from school, and discussed marriage, and her mother is afraid of the burden that would be placed on Eve, and ultimately upon herself to look after a child if pregnancy ensued.  Permission was denied at trial, but granted at the Court of Appeal.",Can a caregiver for someone incapable of giving informed consent make decisions about surgeries for the incapable individual?,Appeal allowed.,"La Forest, writing for a unanimous court, discusses the history of
parens patriae
jurisdiction, which states that the state is responsible for decisions concerning those that cannot give informed consent themselves. He says that the test is generally that the only procedures that will be allowed are ones that are in the ""best interests"" of the protected person. He focuses his criticism in this case on the fact that Mrs. E. is claiming that the burden on her to look after the child should be considered in making the decision. La Forest states that this should be given no consideration, as it is only the best interests of the protected person that are of concern.
He also says that arguing about the protected person's fitness as a parents involves value-loaded questions that result in a designation of disabled persons as less competent parents, even though there is significant evidence showing that they show as much fondness and concern for their children as anyone else. He also considers that the procedure of a hysterectomy is serious surgery and quite invasive, and further that Eve does not require assistance caring for her reproductive cycle, which is a concern in other cases. Perhaps most importantly, this surgery is not therapeutic.
La Forest concludes that ""the grave intrusion on a person’s rights and the certain physical damage that ensues from non-therapeutic sterilization without consent, when compared to the highly questionable advantages that can result, [show that] it can never safely be determined that such a procedure is for the benefit of the person."" The procedure should never be authorized for non-therapeutic purposes under the
parens patriae
jurisdiction.","Non-therapeutic surgeries can never be determined to be for the benefit of a person who is incapable of giving informed consent.
It is only the best interests of the disabled person concerned that are of importance; concerns of others should not be considered.",0.0620516762137413,0.01928326115012169,0.06731779873371124,-0.0038824062794446945,-0.03774763643741608
MISTRAL.open-mixtral-8x22b,British Columbia v British Columbia Government Service Employees' Union (Re Meiorin),"The British Columbia Government Employees' Union (the Union) challenged a requirement for a physical training test for firefighter applicants, arguing it discriminated against women.  A female applicant, a qualified candidate by other standards, failed the test. The physical test was designed to be rigorous and based on criteria associated with firefighting.","Did the physical training test for firefighter applicants discriminate against women, violating the equality provisions of the British Columbia Human Rights Code?","Yes, the physical training test was discriminatory and violated the equality provisions of the Code.","The court determined that the test imposed an undue burden on women, as a significant proportion of women could not meet the requirements.  The test was not demonstrably related to successful job performance, and less discriminatory alternatives existed. The employer hadn't demonstrated that the standard was necessary to the essential function of the job, and there was no evidence that the test was tailored to the particular physical demands of the job.","A requirement for a job that imposes a disproportionate impact on a protected group (in this case, women) must be demonstrably related to job performance and must not use measures which exclude or place an undue hardship on a group of people protected under the relevant human rights code.  Less discriminatory alternatives must be considered and implemented if possible.  A job requirement must be essential and not an arbitrary barrier to employment opportunities for women.  The onus was on the employer to justify the test as necessary for the job. In essence, it outlined that equality measures need to be adaptable and flexible to meet the needs of differing demographics, and that a standardized test that discriminates must be justified as essential, not just efficient or convenient.",,,,,,,,,,
MISTRAL.open-mixtral-8x22b,O'Grady v Sparling,I don't know,I don't know,I don't know,I don't know,I don't know,"O'Grady was charged under s. 55(1) of the Manitoba
Highway Traffic Act
(now
s. 188
) which prohibited driving ""on a highway without due care and attention or without reasonable consideration for other persons using the highway"". The defendant challenged the law, claiming that it was beyond the power of the province because the federal government had ""occupied the field"" with a similar criminal provision in ss. 191/221 (now
s. 219
) of the
Criminal Code
, which prohibited driving with ""wanton or reckless disregard for the lives or safety of other persons"".  O'Grady was convicted at trial and an appeal to the Court of Appeal for Manitoba was dismissed.","Are provincial laws relating to negligence with penal consequences criminal law and therefore
ultra vires
the province?",Appeal dismissed.,"Judson, writing for the majority, held that ""the power of a provincial legislature to enact legislation for the regulation of highway traffic is undoubted"".  He reaffirmed the principle that there exists a ""general area"" or ""domain"" of criminal law and the two governments can make law on the same matter by creating a distinction between the types of culpability.  He quotes from Kenny's Outlines of Criminal Law:
There are only two states of mind which constitute
mens rea
, and they are intention and recklessness. The difference between recklessness and negligence is the difference between advertence and inadvertence; they are opposed and it is a logical fallacy to suggest that recklessness is a degree of negligence. The common habit of lawyers to qualify the word ""negligence"" with some moral epithet such as ""wicked"", ""gross"", or ""culpable"" has been most unfortunate since it has inevitably led to great confusion of thought and of principle. It is equally misleading to speak of criminal negligence since this is merely to use an expression to explain itself.
On the facts, Judson found that there was overlap between the laws however ""there is no conflict between these provisions in the sense that they are repugnant"". The provincial law extended to include ""inadvertent negligence"" as well as regular negligence. It was enough that “the two pieces of legislation differed both in legislative purpose and legal and practical effect” to justify both of them.","The distinction between recklessness and negligence is the difference between advertence and inadvertence; recklessness is when an actor does not desire harmful consequences but forsees the possibility and consciously takes the risk.
There must be an operational incompatibility between federal and provincial law to invoke paramountcy.",-0.017045246437191963,0.06496217846870422,0.07708156108856201,-0.0073233116418123245,0.016258200630545616
MISTRAL.open-mixtral-8x22b,Canada (Attorney General) v Mossup,I don't know,I don't know,I don't know,I don't know,I don't know,"Mossop is a gay man, and his partner's father died.  He applied to take bereavement leave from his job to go to the funeral, but is denied because his partner is neither a ""spouse"" nor a ""common law partner"" as they are both required to be of the opposite sex.  He makes a claim to the Canadian Human Rights Commission, but refuses to argue sexual orientation as a ground, and instead will only argue family status, stating that all matters to do with homosexuals are not about sexual orientation by definition.  The case was dismissed in the lower courts.","Can a homosexual man claim discrimination against ""family status"" with his partner under
s.3 of the
Canadian Human Rights Act
?",Appeal dismissed..,"The court is upset with the appellant who refused to deal with the claim on the ground of sexual orientation, which was new at the time.  However, Mossop sticks with family status.  The majority says that you cannot interpret ""family status"" to include Mossop’s situation unless you also discuss the ground of sexual orientation, and as Mossop refuses to do so he cannot be successful.
La Forest
concurs, but instead looks to the definitions in the Act and tries to figure out what the government meant to protect under ""family status"".  He determines that this specific field was not intended to be covered.
In the dissent,
L'Heureux-Dubé
says that ""family status"" should have a very broad interpretation.  She looks to the broader social context of limiting it as the majority does, and further that by looking at the plain meaning given in the statute you are really just taking the majority's opinion of the definition, which is exactly what you try to avoid in human rights issues.  She also suggests that when there are overlapping grounds, you should select the one that will succeed and proceed with that one.","Only identified grounds can be pursued in a human rights claim.
Definitions in human rights legislation are generally interpreted broadly, but the definition given by Parliament in the statute has a good deal of authority in the court's decision on what falls under the definition and what does not.",0.05045423284173012,0.03107956051826477,0.055273156613111496,0.014708288013935089,-0.0017580296844244003
